Datum,Schifffahrt
2015-05-06,710066
2015-05-07,710066
2015-05-08,710066
2015-05-09,710066
2015-05-10,710066
2015-05-11,710066
2015-05-12,710066
2015-05-13,710066
2015-05-14,710066
2015-05-15,710066
2015-05-16,710066
2015-05-17,710066
2015-05-18,710066
2015-05-19,710066
2015-05-20,710066
2015-05-21,710066
2015-05-22,710066
2015-05-23,710066
2015-05-24,710066
2015-05-25,710066
2015-05-26,710066
2015-05-27,710066
2015-05-28,710066
2015-05-29,710066
2015-05-30,710066
2015-05-31,710066
2015-06-01,702683
2015-06-02,702683
2015-06-03,702683
2015-06-04,702683
2015-06-05,702683
2015-06-06,702683
2015-06-07,702683
2015-06-08,702683
2015-06-09,702683
2015-06-10,702683
2015-06-11,702683
2015-06-12,702683
2015-06-13,702683
2015-06-14,702683
2015-06-15,702683
2015-06-16,702683
2015-06-17,702683
2015-06-18,702683
2015-06-19,702683
2015-06-20,702683
2015-06-21,702683
2015-06-22,702683
2015-06-23,702683
2015-06-24,702683
2015-06-25,702683
2015-06-26,702683
2015-06-27,702683
2015-06-28,702683
2015-06-29,702683
2015-06-30,702683
2015-07-01,1109839
2015-07-02,1109839
2015-07-03,1109839
2015-07-04,1109839
2015-07-05,1109839
2015-07-06,1109839
2015-07-07,1109839
2015-07-08,1109839
2015-07-09,1109839
2015-07-10,1109839
2015-07-11,1109839
2015-07-12,1109839
2015-07-13,1109839
2015-07-14,1109839
2015-07-15,1109839
2015-07-16,1109839
2015-07-17,1109839
2015-07-18,1109839
2015-07-19,1109839
2015-07-20,1109839
2015-07-21,1109839
2015-07-22,1109839
2015-07-23,1109839
2015-07-24,1109839
2015-07-25,1109839
2015-07-26,1109839
2015-07-27,1109839
2015-07-28,1109839
2015-07-29,1109839
2015-07-30,1109839
2015-07-31,1109839
2015-08-01,1167181
2015-08-02,1167181
2015-08-03,1167181
2015-08-04,1167181
2015-08-05,1167181
2015-08-06,1167181
2015-08-07,1167181
2015-08-08,1167181
2015-08-09,1167181
2015-08-10,1167181
2015-08-11,1167181
2015-08-12,1167181
2015-08-13,1167181
2015-08-14,1167181
2015-08-15,1167181
2015-08-16,1167181
2015-08-17,1167181
2015-08-18,1167181
2015-08-19,1167181
2015-08-20,1167181
2015-08-21,1167181
2015-08-22,1167181
2015-08-23,1167181
2015-08-24,1167181
2015-08-25,1167181
2015-08-26,1167181
2015-08-27,1167181
2015-08-28,1167181
2015-08-29,1167181
2015-08-30,1167181
2015-08-31,1167181
2015-09-01,583529
2015-09-02,583529
2015-09-03,583529
2015-09-04,583529
2015-09-05,583529
2015-09-06,583529
2015-09-07,583529
2015-09-08,583529
